filename,width,height,class,xmin,ymin,xmax,ymax
129-jpg_png.rf.0025c70dd7f4d541ed2725a45d45ea15.jpg,640,640,ripe,287,292,446,525
307_jpg.rf.00162407479e40ab0ff5a258b5a20d09.jpg,640,640,ripe,203,472,294,605
114_jpg.rf.001fdb811f03a842753b9c73ccf3aec4.jpg,640,640,unripe,303,0,409,58
114_jpg.rf.001fdb811f03a842753b9c73ccf3aec4.jpg,640,640,unripe,411,26,504,86
114_jpg.rf.001fdb811f03a842753b9c73ccf3aec4.jpg,640,640,ripe,409,243,502,301
114_jpg.rf.001fdb811f03a842753b9c73ccf3aec4.jpg,640,640,ripe,30,350,145,401
114_jpg.rf.001fdb811f03a842753b9c73ccf3aec4.jpg,640,640,ripe,4,425,122,491
114_jpg.rf.001fdb811f03a842753b9c73ccf3aec4.jpg,640,640,ripe,121,446,202,509
231_jpg.rf.001671d55339ba88b921fd41ecec6370.jpg,640,640,ripe,181,299,230,373
231_jpg.rf.001671d55339ba88b921fd41ecec6370.jpg,640,640,ripe,396,489,442,578
285_jpg.rf.004e930f8ebf5f095b00ca98f8d95384.jpg,640,640,ripe,244,314,370,454
1706_png.rf.0062bce782c083c71ff6ae8928b80711.jpg,640,640,unripe,245,189,284,244
1706_png.rf.0062bce782c083c71ff6ae8928b80711.jpg,640,640,unripe,282,195,337,268
1706_png.rf.0062bce782c083c71ff6ae8928b80711.jpg,640,640,unripe,344,184,374,217
1706_png.rf.0062bce782c083c71ff6ae8928b80711.jpg,640,640,unripe,368,230,394,257
1706_png.rf.0062bce782c083c71ff6ae8928b80711.jpg,640,640,unripe,167,105,195,129
1608_png.rf.0068689c7b0b53e946fd4ab6bfadce70.jpg,640,640,unripe,213,172,260,232
1608_png.rf.0068689c7b0b53e946fd4ab6bfadce70.jpg,640,640,unripe,131,82,161,119
1608_png.rf.0068689c7b0b53e946fd4ab6bfadce70.jpg,640,640,unripe,382,208,466,324
1608_png.rf.0068689c7b0b53e946fd4ab6bfadce70.jpg,640,640,unripe,378,84,403,120
1608_png.rf.0068689c7b0b53e946fd4ab6bfadce70.jpg,640,640,unripe,244,198,320,343
2013_png.rf.00a381763b78e131320bad18cd841f77.jpg,640,640,ripe,265,247,397,500
2013_png.rf.00a381763b78e131320bad18cd841f77.jpg,640,640,ripe,444,319,577,538
2013_png.rf.00a381763b78e131320bad18cd841f77.jpg,640,640,unripe,372,347,461,498
1511_png.rf.00c829ad01eefdebdde2963ee327e367.jpg,640,640,ripe,274,190,360,292
1511_png.rf.00c829ad01eefdebdde2963ee327e367.jpg,640,640,unripe,98,225,170,310
1511_png.rf.00c829ad01eefdebdde2963ee327e367.jpg,640,640,unripe,11,264,90,330
1511_png.rf.00c829ad01eefdebdde2963ee327e367.jpg,640,640,unripe,603,216,640,255

2224_png.rf.00a5b8db9223f62bf3070e110e81fa59.jpg,640,640,unripe,312,162,387,250
2224_png.rf.00a5b8db9223f62bf3070e110e81fa59.jpg,640,640,unripe,427,101,476,149
2224_png.rf.00a5b8db9223f62bf3070e110e81fa59.jpg,640,640,unripe,184,164,242,238
2224_png.rf.00a5b8db9223f62bf3070e110e81fa59.jpg,640,640,unripe,15,112,42,144
132_png.rf.00e0ffbe9776d5fc6f884fe1eed50aae.jpg,640,640,unripe,89,61,138,132
132_png.rf.00e0ffbe9776d5fc6f884fe1eed50aae.jpg,640,640,unripe,136,28,209,133
132_png.rf.00e0ffbe9776d5fc6f884fe1eed50aae.jpg,640,640,unripe,188,2,230,44
132_png.rf.00e0ffbe9776d5fc6f884fe1eed50aae.jpg,640,640,unripe,288,312,358,456
132_png.rf.00e0ffbe9776d5fc6f884fe1eed50aae.jpg,640,640,unripe,360,213,456,365
1408_png.rf.00c2da86847bbc8f348827ba5680c514.jpg,640,640,unripe,97,168,192,342
1408_png.rf.00c2da86847bbc8f348827ba5680c514.jpg,640,640,unripe,370,197,452,323
1408_png.rf.00c2da86847bbc8f348827ba5680c514.jpg,640,640,unripe,435,94,504,193
